acc_x,acc_y,acc_z,eda,bvp,hr,temp,pain_level
0.0597,-0.0125,-0.0414,1.032,61.9,57.3,34.49,2
0.0347,-0.6173,1.886,1.613,85.8,113.7,33.59,7
-0.0121,-0.0567,-0.0365,1.368,68.3,57.7,34.46,4
0.4321,-0.0323,-0.2389,1.96,83.2,76.1,33.39,6
-0.0244,-0.0581,-0.1056,0.683,74.7,45.9,34.29,1
0.0441,-0.0452,-0.0057,1.344,66.5,59.7,34.17,4
0.5206,-1.5306,0.3533,1.113,77.9,122.3,34.21,8
0.2844,-0.004,-0.3042,0.839,75.7,71.5,34.22,3
0.1484,0.0617,-0.0244,0.941,69.4,79.3,33.98,4
0.3743,0.8138,-1.2998,2.839,79.4,113.6,33.76,8
0.1782,-1.4764,2.4999,2.63,89.0,109.4,33.5,8
0.0113,-0.0388,-0.0325,0.94,71.4,54.9,33.79,1
0.4538,2.3482,-2.8507,2.095,82.4,115.8,33.67,8
0.0862,0.1983,0.0391,2.633,70.3,68.9,33.25,7
0.0734,0.0637,-0.0595,0.122,74.6,57.6,34.2,1
1.7511,-1.2703,-2.0957,1.875,82.7,124.1,33.28,8
0.0787,-0.0137,-0.0288,1.498,73.2,56.7,33.33,3
-0.0426,0.0485,-0.0491,1.032,76.6,41.7,34.27,1
-0.6795,-0.0905,0.2033,2.083,72.1,83.5,33.14,7
0.0439,-0.0293,-0.0196,1.083,72.9,54.9,33.73,2
0.0425,-0.1053,0.0096,0.477,63.4,60.5,33.52,1
-0.1663,-0.2318,-0.3124,1.257,74.3,72.3,34.16,5
-2.6633,-1.117,0.1427,1.844,81.2,104.3,33.33,7
-0.0564,0.1303,-0.0557,1.866,74.1,61.1,34.14,5
-0.052,-0.0482,0.0231,1.304,65.3,65.8,34.07,4
0.3669,-0.2689,-1.2097,2.136,78.8,88.2,33.65,7
-0.0155,-0.0344,0.0338,1.417,61.1,54.3,34.23,3
0.0725,0.028,-0.0342,0.797,76.3,53.4,33.97,1
2.8289,0.4626,0.9248,2.057,86.6,118.2,33.36,8
0.0242,0.032,-0.185,0.738,71.5,73.2,34.0,3
1.4611,-0.7588,0.4645,1.384,90.1,94.6,33.61,6
0.0144,0.0299,-0.0235,0.708,70.4,53.5,33.01,1
-0.1484,-0.0752,0.2105,1.81,70.0,69.6,33.5,6
0.0548,-0.0782,-0.0025,0.436,77.0,58.1,33.93,1
0.0492,0.0132,-0.0051,0.499,64.2,48.9,33.82,1
-0.0177,0.0212,-0.2376,0.793,79.7,75.5,34.21,3
-0.0387,0.0318,0.0292,1.404,71.6,62.3,33.71,4
-0.2727,0.1576,-0.1998,0.243,67.9,76.3,34.38,2
0.4726,0.0572,-0.0411,0.706,65.3,66.0,33.27,1
-0.0529,0.0067,-0.0143,0.772,71.8,53.3,34.52,1
-0.0797,-0.0641,0.0426,0.612,70.5,53.7,33.95,1
0.5007,1.2206,0.9083,2.204,82.4,93.9,33.48,7
0.0931,-0.0159,0.0679,0.259,73.4,57.7,33.75,1
0.0072,0.008,-0.0051,0.531,75.5,48.1,34.09,1
-0.0267,-0.0552,0.0681,0.643,73.7,56.5,34.34,1
0.1029,-0.0181,-0.0751,1.405,65.9,102.0,34.27,7
-0.016,-0.0401,0.0181,0.266,75.0,55.5,33.88,1
-0.0076,-0.0752,-0.0372,0.18,73.3,51.6,34.09,1
0.0786,-0.2182,-0.2913,1.22,73.5,79.3,33.5,5
-0.0347,0.021,-0.0334,1.622,64.8,54.7,34.41,4
2.3229,0.6135,-1.3446,2.408,75.7,94.9,33.59,7
-2.1443,-1.579,-0.3832,3.597,81.0,114.2,33.51,8
1.2636,-1.1471,0.8891,1.69,87.1,109.4,34.37,8
0.0908,0.1118,-0.0266,0.495,72.4,49.7,34.34,1
-0.0139,0.0155,-0.0172,1.056,63.7,54.7,34.07,2
-0.0327,0.0223,0.0698,0.534,72.7,61.7,33.94,1
0.032,0.0096,0.0053,1.318,73.7,54.3,33.78,2
0.0835,-0.026,-0.0401,0.594,68.4,52.7,33.46,1
-0.0038,-0.0133,-0.0276,0.284,55.9,50.2,33.67,1
0.0666,0.0215,0.0264,1.326,72.9,52.5,33.97,2
-0.07,-0.2701,-0.3535,1.337,73.2,72.5,33.55,5
-0.208,-0.1168,-1.1536,2.651,82.8,86.4,34.17,8
0.077,0.3489,0.4237,0.413,66.7,73.0,34.06,2
-0.1577,-0.1378,-0.8343,1.766,82.6,94.5,34.19,7
-0.0049,0.0064,-0.0066,0.024,62.1,58.0,33.74,1
-0.0461,0.0798,0.0371,0.714,65.5,66.3,33.94,2
-0.1342,0.0085,-0.1311,0.079,70.0,77.8,33.16,1
0.1022,-0.099,-0.0159,0.652,77.1,59.2,33.41,1
-0.1126,-0.2265,-0.7384,1.537,79.6,96.6,33.63,7
-0.1715,-0.0945,-0.0901,1.381,55.7,77.3,33.23,5
0.0528,-0.0617,-0.0575,0.047,71.1,59.7,33.67,1
0.0709,0.0193,-0.0102,1.744,74.2,49.5,33.85,3
-0.039,0.0421,0.0388,0.034,64.7,58.5,33.92,1
0.6603,-0.1715,0.0071,1.654,67.5,74.2,33.72,5
-0.031,0.9853,0.4739,0.909,81.7,114.7,33.2,6
0.2364,0.1107,-0.1803,0.981,80.5,74.6,33.18,3
0.0474,0.062,0.0335,2.033,69.2,59.2,33.71,5
-0.0255,-0.0249,-0.0592,0.54,73.8,62.5,34.42,1
0.0258,-0.0304,-0.0632,0.013,64.3,63.5,33.54,1
-0.2047,0.051,0.023,0.404,69.6,72.6,34.28,2
0.1591,-0.2115,-0.439,1.642,70.8,70.4,33.64,5
0.4172,-0.9441,-0.5429,2.753,83.9,109.4,33.34,8
0.0712,-0.4599,-0.6408,1.306,78.0,103.1,33.98,7
-0.0395,0.0424,0.0308,0.418,72.1,53.3,34.03,1
0.3488,-0.0787,0.25,2.323,74.7,81.4,33.79,7
0.0052,-0.1271,0.0175,0.234,73.7,64.4,34.01,1
1.1425,-0.0851,-1.3513,1.883,68.3,95.4,33.37,7
0.0164,0.0286,0.014,0.374,84.5,58.7,33.69,1
-0.0047,0.3261,0.4203,1.187,78.6,73.0,33.61,4
0.0706,-0.5542,-0.2936,0.228,72.3,81.2,33.79,1
-0.5641,-1.0363,0.1539,0.109,72.8,94.4,33.85,3
0.016,0.0679,-0.0007,0.046,66.6,60.5,34.0,1
-0.1178,-0.0983,-0.0051,0.96,72.0,53.7,34.2,1
-0.0204,0.0173,-0.0565,1.578,66.4,61.9,34.04,4
0.0095,0.0039,-0.0114,0.151,71.4,61.8,33.69,1
-0.2196,-0.173,-0.5075,2.285,75.1,68.1,33.86,6
-0.9012,-1.3785,0.0104,1.837,71.2,95.1,33.84,7
1.5784,-1.0785,-0.4503,2.464,79.9,99.3,32.91,8
-0.9834,0.3661,-0.0104,1.268,88.6,96.5,33.89,6
-0.0468,-0.0189,-0.0484,0.627,75.9,87.6,33.62,5
0.3716,0.2554,-0.1626,0.669,70.6,69.5,33.45,2
0.0302,-0.3549,0.5301,1.023,76.2,72.8,33.78,4
-0.0409,-0.0566,0.0183,0.086,57.1,56.3,34.09,1
-0.0367,0.0009,-0.0331,0.497,62.9,52.7,33.99,1
0.0333,0.0046,0.0443,1.846,65.5,52.6,33.5,4
0.2855,-0.1956,0.2781,0.276,68.7,74.8,33.68,1
-0.2423,0.5055,0.1734,0.824,66.7,71.2,33.36,2
-0.0749,0.0193,0.0409,0.656,71.5,59.7,33.8,1
0.0759,-0.0346,0.0382,0.316,77.3,51.4,33.95,1
-0.1331,-0.2634,-0.1528,1.176,63.3,76.7,33.54,5
0.0409,-0.0161,-0.1518,0.132,74.2,52.0,34.23,1
-0.0743,-0.1164,0.0977,1.1,70.7,77.2,33.72,5
-0.1469,0.254,-0.0915,0.713,67.7,81.8,33.8,3
-0.0582,0.0356,-0.0173,0.48,67.2,53.2,34.34,1
-0.0021,0.035,0.005,0.385,76.5,40.4,34.4,1
-1.2118,-1.0874,1.0464,2.0,75.0,91.5,33.61,7
0.1187,-0.0095,0.0091,1.317,61.8,50.6,33.48,2
0.1535,-0.1929,-0.0527,1.662,80.4,77.7,33.51,6
0.071,-0.0143,-0.0107,0.509,72.6,61.2,34.18,1
-0.0386,0.2046,-0.1792,1.486,66.2,69.3,34.08,5
-0.0226,-0.1185,0.0168,1.231,68.4,52.5,34.58,3
-0.0705,0.0533,-0.0199,0.105,66.4,55.5,34.0,1
0.0502,-0.2565,0.6709,1.475,70.0,78.4,33.86,5
0.0273,0.0145,-0.0778,1.336,72.6,56.5,34.17,3
-0.004,-0.0319,-0.0979,1.04,71.0,51.6,34.16,1
1.4441,-0.9685,-0.9317,2.7,82.1,108.4,34.19,8
0.1066,-0.0346,-0.051,0.034,66.1,60.5,33.7,1
-1.1057,-1.4351,0.3617,2.025,73.7,95.0,33.42,7
0.0313,-0.0335,-0.0613,1.165,71.6,44.5,33.84,1
0.0207,-0.0004,-0.0336,0.853,78.2,47.3,34.37,1
-0.017,-0.0007,0.0219,0.008,58.5,52.7,34.1,1
0.1016,-0.0926,0.0308,1.06,64.6,55.7,33.71,2
-0.4697,0.9021,0.7012,1.563,81.3,112.0,33.93,8
-0.0409,0.0354,0.0665,0.236,69.8,54.7,33.75,1
-0.2301,-0.5382,-0.1155,0.946,67.7,80.2,33.54,4
-0.032,0.0163,-0.0408,1.909,63.2,56.1,33.82,5
0.2532,0.7833,-0.6007,1.533,76.0,80.7,34.24,6
0.0517,-0.014,-0.0028,1.515,71.0,57.2,33.93,4
0.0808,-0.4528,-0.6658,1.503,68.8,95.8,34.06,7
0.0113,0.0359,0.0394,1.114,71.3,40.6,33.97,1
0.0798,-0.1064,0.292,1.622,82.4,100.3,33.55,7
0.0237,0.0313,-0.0402,0.399,66.0,48.6,34.1,1
-0.5439,-0.9485,0.3745,1.664,81.5,89.9,33.5,6
-0.5249,0.1634,0.2074,1.327,68.8,66.1,33.62,4
0.2583,-0.1346,1.2431,1.737,75.2,93.6,33.6,7
-0.0091,0.031,-0.0295,1.478,75.2,56.8,33.8,3
0.2907,0.1467,-0.4336,0.525,67.8,71.6,33.68,2
-1.8914,-0.8023,3.1361,2.127,85.8,111.7,34.01,8
-0.3525,-0.0462,-4.341,2.208,82.0,120.1,33.61,8
1.2225,-0.1823,0.4098,0.78,85.7,89.7,33.55,4
2.1031,0.1505,-0.9342,1.188,81.8,86.3,34.05,5
0.0499,-0.0445,-0.0295,0.783,67.8,52.7,33.77,1
0.5845,-0.3539,-1.346,2.595,87.6,97.3,33.57,8
-0.0636,-0.0868,-0.0556,0.862,85.8,56.4,33.69,1
-0.4605,0.1798,0.0475,1.427,79.2,80.5,34.03,5
-0.0261,-0.0278,-0.0698,0.695,72.9,53.5,33.79,1
0.4382,-0.1263,0.0452,1.05,70.6,76.6,33.49,4
-0.0671,0.0499,-0.0767,0.256,69.5,55.0,34.56,1
0.0087,0.0217,0.1086,0.236,70.7,49.5,33.83,1
0.3288,0.004,-0.1694,2.117,69.4,81.2,33.6,7
-0.0229,-0.0119,0.1192,1.323,69.9,55.9,34.2,3
0.04,-2.5775,-0.8542,1.777,73.2,113.5,33.47,8
0.0399,0.0211,0.0148,0.081,71.5,54.4,33.57,1
0.035,0.0414,-0.0009,0.216,69.0,53.6,34.56,1
0.0826,0.6938,-0.2336,2.383,70.8,81.9,33.87,7
0.1788,1.5024,1.7404,2.454,80.9,89.8,33.98,7
0.7306,0.7769,-0.2283,2.268,84.8,89.2,34.07,7
-0.0475,0.0779,0.0309,1.742,74.2,60.0,33.72,4
0.0341,-0.0476,-0.0758,1.927,77.8,52.6,34.05,5
0.1863,0.1487,0.0747,0.785,65.9,69.5,33.72,2
-0.0267,-0.0748,-0.0049,0.441,76.5,48.6,34.19,1
-0.2746,0.4301,-0.0247,0.078,69.4,68.6,33.74,1
-0.5924,0.1518,-0.3266,1.623,75.2,79.3,33.46,5
0.1521,0.1826,-0.7125,0.584,77.1,101.5,33.24,5
-0.3953,0.2172,-0.2536,0.785,72.2,74.7,33.78,3
-0.1004,-0.3024,-0.3023,0.388,73.7,76.5,33.77,2
0.4258,-1.4836,0.2134,1.559,81.0,90.9,33.69,6
-0.0197,-0.0467,0.0273,0.295,73.0,47.2,34.41,1
-0.0625,-0.0085,0.084,0.341,66.0,48.2,34.29,1
0.2592,-0.1285,-0.4315,2.02,70.7,81.4,33.85,7
-0.047,-0.0082,-0.0432,0.857,77.4,55.9,34.09,1
2.0133,-3.2047,0.1299,2.634,80.4,115.0,34.13,8
-0.1951,0.2969,-0.3827,1.393,78.4,101.8,33.35,7
0.0705,0.1505,0.3831,1.415,74.6,75.7,34.09,5
-0.5093,-0.2228,2.6793,0.88,86.0,122.8,33.72,7
-0.5255,0.2959,-0.7226,1.666,77.9,96.0,33.55,7
0.0527,-0.0114,0.0676,0.401,68.6,55.0,34.15,1
0.0245,0.2378,-0.4811,0.975,71.7,69.0,33.33,2
0.0887,-0.0666,0.0104,0.207,67.4,52.7,33.9,1
-0.03,0.0132,0.0049,1.128,69.6,50.6,34.14,2
0.0439,-0.0518,0.0674,0.743,67.1,57.2,33.55,1
0.2003,0.1433,0.441,1.922,77.0,82.5,33.47,7
